neighborhood,year,denom_tot_pop_count,immigrant_total_pop_pct,denom_tot_immigrant_count,immigrant_noncitizen_pop_pct,immigrant_citizen_pop_pct,denom_renter_housing_count,rent_burden_pct,severe_rent_burden_pct,denom_total_pop,american_indian_native_pop_pct,asian_pop_pct,black_pop_pct,hispanic_pop_pct,native_hawaiian_pacific_islander_pop_pct,other_race_pop_pct,mix_pop_pct,white_pop_pct
Koreatown,2017,107369,60%,64486,66%,34%,40113,60%,32%,107369,0%,38%,5%,46%,1%,0%,2%,9%
South Gate,2017,95500,43%,41507,58%,42%,13325,62%,30%,95500,0%,1%,1%,95%,0%,0%,0%,3%
Elysian Valley,2017,7334,40%,2909,35%,65%,1280,48%,24%,7334,0%,22%,1%,61%,0%,0%,1%,14%
Claremont,2017,39149,17%,6749,31%,69%,4269,53%,28%,39149,0%,13%,5%,27%,0%,0%,4%,51%
Avocado Heights,2017,14265,36%,5194,45%,55%,852,57%,33%,14265,0%,11%,0%,83%,0%,0%,0%,6%
South San Gabriel,2017,8765,49%,4266,34%,66%,803,46%,28%,8765,0%,49%,0%,44%,0%,0%,1%,6%
Northwest Antelope Valley,2017,5624,8%,443,39%,61%,409,51%,19%,5624,1%,2%,6%,21%,0%,0%,2%,68%
Echo Park,2017,35274,35%,12447,55%,45%,10226,52%,28%,35274,0%,16%,3%,50%,0%,0%,2%,27%
Lynwood,2017,70511,38%,27108,64%,36%,8623,66%,34%,70511,0%,1%,8%,88%,0%,0%,0%,2%
Unincorporated Santa Susana Mountains,2017,24685,23%,5662,32%,68%,2717,49%,28%,24685,0%,18%,3%,24%,0%,0%,4%,51%
Shadow Hills,2017,13304,37%,4885,23%,77%,1146,61%,35%,13304,0%,8%,1%,19%,0%,0%,2%,69%
La Habra Heights,2017,9419,20%,1859,15%,85%,235,21%,11%,9419,0%,17%,0%,31%,0%,0%,2%,49%
Covina,2017,55082,24%,13329,37%,63%,7003,54%,24%,55082,0%,13%,4%,58%,0%,0%,2%,24%
Northwest Palmdale,2017,4163,9%,384,34%,66%,163,58%,26%,4163,1%,6%,4%,26%,0%,0%,2%,61%
Sawtelle,2017,42445,33%,14158,48%,52%,14797,48%,25%,42445,0%,21%,3%,21%,0%,0%,5%,49%
Rancho Park,2017,5321,32%,1683,46%,54%,1209,48%,25%,5321,0%,26%,4%,15%,0%,0%,3%,51%
East Los Angeles,2017,122286,41%,50598,64%,36%,20964,55%,28%,122286,0%,1%,0%,96%,0%,0%,0%,2%
Beverlywood,2017,7095,23%,1657,28%,72%,1005,48%,27%,7095,0%,10%,3%,7%,0%,0%,2%,78%
Bellflower,2017,77799,31%,24399,50%,50%,13980,59%,32%,77799,0%,13%,13%,55%,0%,0%,2%,16%
Azusa,2017,45822,32%,14625,49%,51%,5236,58%,32%,45822,0%,11%,2%,69%,0%,0%,1%,17%
Del Rey,2017,29986,33%,9762,51%,49%,7516,46%,24%,29986,0%,15%,3%,38%,0%,0%,4%,38%
Mid-Wilshire,2017,43215,33%,14158,53%,47%,15380,52%,27%,43215,0%,22%,13%,20%,0%,1%,4%,40%
North Whittier,2017,7310,19%,1394,27%,73%,356,51%,23%,7310,0%,13%,1%,59%,0%,1%,1%,23%
Beverly Crest,2017,10948,26%,2808,22%,78%,595,31%,12%,10948,0%,8%,1%,5%,0%,0%,3%,83%
Cerritos,2017,50184,45%,22803,24%,76%,3310,50%,27%,50184,0%,61%,7%,13%,0%,0%,3%,15%
West Hills,2017,39526,26%,10279,23%,77%,2044,54%,25%,39526,0%,15%,3%,16%,0%,0%,3%,62%
Vincent,2017,13879,31%,4324,44%,56%,918,53%,18%,13879,1%,10%,1%,72%,0%,0%,2%,14%
Sun Village,2017,1911,24%,465,50%,50%,168,68%,46%,1911,1%,1%,8%,67%,0%,0%,2%,21%
Playa del Rey,2017,11351,18%,2048,34%,66%,2866,43%,21%,11351,0%,12%,5%,12%,0%,1%,5%,64%
Valinda,2017,19897,39%,7799,44%,56%,1012,51%,34%,19897,0%,18%,2%,73%,0%,0%,1%,6%
Tujunga,2017,27200,39%,10519,30%,70%,4615,65%,38%,27200,0%,7%,2%,29%,0%,0%,2%,60%
Exposition Park,2017,34642,44%,15355,61%,39%,7143,64%,40%,34642,0%,4%,21%,68%,0%,1%,2%,4%
Eagle Rock,2017,34820,34%,11796,31%,69%,5012,50%,23%,34820,0%,27%,1%,39%,0%,0%,3%,29%
Harbor City,2017,26650,37%,9876,54%,46%,4454,51%,28%,26650,0%,19%,11%,49%,2%,0%,3%,16%
Southeast Antelope Valley,2017,8570,19%,1631,43%,57%,738,45%,27%,8570,0%,3%,6%,42%,0%,1%,3%,44%
Reseda,2017,71731,43%,31134,43%,57%,10793,61%,37%,71731,0%,12%,4%,53%,0%,0%,2%,28%
Willowbrook,2017,38148,28%,10721,72%,28%,4640,62%,42%,38148,0%,0%,32%,65%,1%,0%,0%,1%
Highland Park,2017,52932,38%,19975,51%,49%,9795,53%,27%,52932,0%,10%,2%,71%,0%,0%,2%,15%
Temple City,2017,37737,49%,18511,29%,71%,4381,57%,32%,37737,0%,60%,1%,21%,0%,0%,1%,16%
Westlake Village,2017,7624,14%,1066,15%,85%,423,43%,17%,7624,0%,8%,1%,8%,0%,0%,2%,81%
Pico-Robertson,2017,17972,31%,5562,34%,66%,5952,52%,33%,17972,0%,8%,4%,9%,0%,0%,3%,75%
Monrovia,2017,39431,26%,10265,49%,51%,7077,50%,21%,39431,0%,14%,5%,42%,0%,0%,3%,35%
Broadway-Manchester,2017,28701,34%,9624,72%,28%,4993,70%,47%,28701,0%,0%,29%,69%,0%,0%,1%,1%
Sunland,2017,14462,35%,5048,25%,75%,1610,59%,33%,14462,0%,10%,3%,25%,1%,1%,2%,58%
Agua Dulce,2017,4452,9%,409,28%,72%,84,39%,13%,4452,0%,3%,1%,18%,0%,0%,5%,74%
Malibu,2017,9719,14%,1368,34%,66%,810,32%,21%,9719,0%,5%,2%,9%,0%,0%,5%,79%
Topanga,2017,6935,16%,1137,32%,68%,602,43%,20%,6935,1%,5%,0%,7%,0%,0%,3%,83%
Northeast Antelope Valley,2017,23178,17%,4025,49%,51%,2145,50%,32%,23178,0%,2%,9%,53%,0%,0%,2%,33%
Arleta,2017,35132,47%,16479,44%,56%,1779,64%,41%,35132,0%,10%,1%,79%,0%,0%,1%,8%
Van Nuys,2017,112819,46%,52141,62%,38%,28017,67%,36%,112819,0%,7%,4%,65%,0%,0%,1%,22%
Mar Vista,2017,37864,28%,10617,57%,43%,9761,49%,21%,37864,0%,13%,5%,28%,0%,0%,4%,50%
Valley Glen,2017,57831,43%,24591,43%,57%,13501,61%,35%,57831,0%,5%,4%,39%,0%,0%,2%,49%
Arcadia,2017,61705,48%,29698,35%,65%,7932,47%,26%,61705,0%,60%,1%,13%,0%,0%,3%,22%
Windsor Square,2017,6499,44%,2830,36%,64%,1629,65%,27%,6499,0%,47%,4%,12%,0%,0%,5%,32%
West Puente Valley,2017,20813,36%,7555,45%,54%,1326,43%,19%,20813,0%,10%,2%,83%,0%,0%,0%,4%
Central-Alameda,2017,45370,43%,19682,80%,20%,6950,67%,38%,45370,0%,0%,9%,90%,0%,0%,0%,1%
Arlington Heights,2017,23288,51%,11941,63%,37%,5842,59%,32%,23288,0%,21%,13%,59%,0%,0%,1%,5%
Harvard Heights,2017,19500,54%,10559,67%,33%,4922,62%,32%,19500,0%,21%,7%,65%,0%,0%,1%,5%
Harvard Park,2017,9490,33%,3168,61%,39%,1494,70%,48%,9490,0%,1%,37%,60%,0%,0%,0%,1%
East Hollywood,2017,67627,55%,37440,57%,43%,21676,60%,31%,67627,0%,18%,3%,56%,0%,0%,1%,21%
Lennox,2017,18653,45%,8471,67%,33%,3213,59%,32%,18653,0%,2%,3%,93%,0%,0%,0%,2%
Larchmont,2017,8898,42%,3769,47%,53%,2447,48%,27%,8898,0%,26%,4%,38%,0%,0%,5%,27%
Tarzana,2017,38158,40%,15139,30%,70%,6370,58%,32%,38158,0%,8%,4%,18%,0%,0%,4%,66%
Rolling Hills,2017,2868,19%,540,27%,73%,108,41%,19%,2868,0%,20%,1%,8%,0%,0%,4%,68%
Mid-City,2017,51128,34%,17449,55%,45%,12438,58%,32%,51128,0%,6%,23%,49%,0%,1%,2%,18%
Westchester,2017,41383,19%,7865,45%,55%,7492,49%,28%,41383,0%,14%,13%,18%,0%,0%,5%,49%
Manchester Square,2017,11452,14%,1590,53%,47%,1963,68%,43%,11452,0%,1%,70%,25%,0%,0%,2%,2%
Rowland Heights,2017,43427,55%,23854,37%,63%,4240,57%,29%,43427,0%,61%,1%,24%,0%,0%,2%,11%
Ridge Route,2017,7167,18%,1300,40%,60%,643,55%,21%,7167,0%,6%,3%,29%,0%,0%,4%,58%
South San Jose Hills,2017,19656,44%,8612,53%,47%,1312,55%,35%,19656,0%,10%,1%,85%,0%,0%,1%,3%
Vermont-Slauson,2017,28108,39%,11035,67%,33%,5033,69%,40%,28108,0%,1%,23%,75%,0%,0%,0%,1%
Athens,2017,9375,28%,2591,55%,45%,1298,67%,38%,9375,0%,1%,52%,43%,0%,1%,2%,1%
Mount Washington,2017,14600,33%,4888,47%,52%,2317,51%,26%,14600,0%,14%,3%,54%,0%,0%,2%,27%
West Compton,2017,6541,23%,1528,41%,59%,540,58%,30%,6541,0%,3%,49%,43%,0%,0%,1%,4%
Los Feliz,2017,32985,30%,10039,34%,66%,13012,49%,26%,32985,0%,12%,2%,15%,0%,0%,3%,67%
Chinatown,2017,14534,42%,6140,50%,50%,3584,59%,30%,14534,1%,40%,14%,31%,0%,0%,1%,13%
Century City,2017,5866,30%,1739,25%,75%,1014,46%,28%,5866,0%,18%,3%,5%,1%,0%,4%,69%
Florence-Firestone,2017,62536,42%,26128,72%,28%,9481,64%,39%,62536,0%,0%,8%,91%,0%,0%,0%,0%
University Park,2017,23662,38%,8961,78%,22%,4918,62%,42%,23662,0%,28%,6%,34%,0%,1%,3%,28%
Hollywood Hills West,2017,15648,23%,3599,38%,62%,2609,53%,27%,15648,0%,5%,5%,8%,0%,0%,4%,78%
Unincorporated Santa Monica Mountains,2017,23124,17%,4017,34%,66%,2082,50%,31%,23124,0%,8%,2%,9%,0%,0%,3%,76%
West Los Angeles,2017,13072,31%,4113,34%,66%,3084,45%,23%,13072,0%,19%,3%,7%,0%,0%,4%,68%
Hancock Park,2017,10269,24%,2497,27%,73%,2486,42%,27%,10269,0%,16%,1%,8%,0%,1%,3%,70%
Canoga Park,2017,61166,45%,27700,63%,37%,13429,61%,31%,61166,0%,13%,4%,58%,0%,0%,1%,22%
Chesterfield Square,2017,8189,32%,2583,59%,41%,1423,69%,51%,8189,0%,1%,44%,53%,0%,0%,0%,2%
Hidden Hills,2017,2338,21%,484,29%,71%,210,36%,14%,2338,0%,9%,0%,9%,0%,0%,3%,79%
Norwalk,2017,105724,35%,37217,45%,55%,9994,58%,29%,105724,0%,13%,4%,70%,0%,0%,1%,11%
North El Monte,2017,2286,37%,839,31%,69%,276,48%,32%,2286,1%,45%,0%,25%,0%,0%,2%,27%
Monterey Park,2017,61687,54%,33370,35%,65%,9379,58%,34%,61687,0%,66%,0%,28%,1%,0%,2%,4%
Hollywood,2017,73718,41%,29911,53%,47%,33392,57%,30%,73718,0%,7%,7%,36%,0%,0%,3%,46%
Fairfax,2017,13359,22%,2996,43%,57%,4632,50%,27%,13359,0%,9%,4%,8%,0%,1%,4%,73%
Glassell Park,2017,24901,42%,10374,48%,52%,4460,59%,29%,24901,0%,18%,1%,61%,0%,0%,2%,17%
Watts,2017,44466,32%,14220,74%,26%,6908,70%,41%,44466,0%,1%,23%,74%,0%,0%,0%,1%
La Verne,2017,31767,15%,4631,30%,70%,2908,56%,28%,31767,0%,7%,4%,37%,0%,0%,2%,49%
Rancho Palos Verdes,2017,41740,28%,11576,26%,74%,3285,52%,26%,41740,0%,29%,2%,12%,1%,0%,5%,52%
Green Meadows,2017,36174,32%,11591,69%,31%,4890,67%,39%,36174,0%,0%,28%,70%,0%,0%,0%,1%
Del Aire,2017,9532,30%,2845,39%,61%,1462,49%,22%,9532,0%,6%,10%,52%,2%,0%,4%,26%
Vermont Knolls,2017,22263,32%,7120,74%,26%,4843,68%,41%,22263,0%,1%,35%,62%,0%,0%,2%,1%
Castaic,2017,11279,18%,1998,18%,82%,289,40%,15%,11279,0%,11%,4%,26%,0%,0%,3%,55%
Westwood,2017,53128,28%,14927,53%,47%,12473,58%,44%,53128,0%,28%,2%,12%,0%,0%,4%,53%
Venice,2017,34282,20%,6905,45%,55%,11402,44%,22%,34282,0%,4%,6%,16%,0%,1%,3%,70%
South Diamond Bar,2017,5126,42%,2173,25%,75%,299,54%,37%,5126,0%,55%,3%,15%,1%,0%,2%,24%
Universal City,2017,151,25%,37,39%,61%,25,50%,25%,151,0%,8%,3%,5%,1%,1%,7%,75%
Pacific Palisades,2017,24002,14%,3309,29%,71%,1955,46%,29%,24002,0%,5%,1%,6%,0%,0%,5%,83%
Bel-Air,2017,7341,28%,2090,17%,83%,579,38%,23%,7341,0%,10%,3%,7%,0%,0%,4%,75%
East Pasadena,2017,5930,44%,2601,37%,63%,642,55%,26%,5930,0%,30%,1%,42%,0%,0%,3%,23%
Cudahy,2017,24416,44%,10803,72%,28%,4760,61%,31%,24416,0%,0%,0%,96%,0%,0%,0%,3%
Palos Verdes Estates,2017,13244,19%,2451,25%,75%,648,37%,29%,13244,0%,20%,1%,9%,0%,0%,4%,66%
Ladera Heights,2017,12376,16%,1954,27%,73%,1701,49%,30%,12376,0%,10%,53%,8%,0%,0%,6%,23%
Walnut Park,2017,15745,50%,7932,58%,42%,1698,55%,31%,15745,0%,1%,0%,97%,0%,0%,0%,1%
La Crescenta-Montrose,2017,17992,33%,5865,32%,68%,1862,51%,26%,17992,0%,27%,0%,16%,0%,0%,3%,53%
Gardena,2017,59761,33%,19846,44%,56%,10326,58%,28%,59761,0%,25%,23%,38%,1%,1%,3%,10%
Duarte,2017,21606,34%,7343,35%,65%,2503,60%,32%,21606,0%,17%,7%,49%,0%,0%,2%,24%
La Mirada,2017,49105,23%,11391,25%,75%,3187,52%,25%,49105,0%,19%,2%,41%,0%,0%,3%,33%
Maywood,2017,25809,46%,11818,69%,31%,4739,66%,33%,25809,0%,0%,1%,98%,0%,0%,0%,2%
Alondra Park,2017,8439,30%,2544,34%,66%,1271,50%,16%,8439,0%,17%,17%,42%,1%,0%,4%,19%
Beverly Grove,2017,22292,25%,5569,33%,67%,8743,48%,23%,22292,0%,9%,3%,9%,0%,0%,4%,74%
Vermont Vista,2017,25195,31%,7748,75%,25%,4631,70%,40%,25195,0%,0%,33%,64%,0%,0%,1%,1%
Lawndale,2017,32962,36%,11830,54%,46%,6640,58%,26%,32962,0%,10%,10%,61%,1%,0%,3%,15%
Hyde Park,2017,36178,24%,8816,54%,46%,7348,75%,48%,36178,0%,1%,54%,40%,0%,1%,1%,2%
Lomita,2017,20224,22%,4458,45%,55%,4252,50%,22%,20224,0%,17%,4%,31%,0%,0%,4%,44%
South Pasadena,2017,25829,27%,7082,34%,66%,5551,43%,20%,25829,0%,29%,3%,20%,0%,0%,5%,42%
Westmont,2017,33405,26%,8657,67%,33%,7285,71%,45%,33405,0%,0%,45%,51%,0%,0%,1%,2%
San Pasqual,2017,1944,23%,451,23%,77%,381,59%,27%,1944,0%,20%,5%,19%,0%,1%,3%,53%
West Hollywood,2017,36065,25%,8969,35%,65%,17744,47%,25%,36065,0%,6%,4%,11%,0%,0%,4%,75%
Artesia,2017,16786,48%,7981,47%,53%,2223,59%,32%,16786,0%,36%,4%,37%,0%,0%,4%,19%
Manhattan Beach,2017,35575,12%,4217,35%,65%,4193,35%,17%,35575,0%,11%,0%,9%,0%,1%,5%,75%
West Carson,2017,22191,39%,8556,39%,61%,2222,49%,20%,22191,0%,32%,11%,37%,0%,0%,2%,17%
Hermosa Beach,2017,19690,11%,2112,41%,59%,4884,29%,14%,19690,1%,6%,1%,9%,0%,0%,3%,79%
Carthay,2017,5247,19%,995,43%,57%,1504,52%,24%,5247,0%,7%,8%,12%,1%,0%,7%,65%
Beverly Hills,2017,34454,37%,12834,26%,74%,8770,48%,26%,34454,0%,10%,1%,6%,0%,0%,4%,79%
El Segundo,2017,16910,15%,2499,39%,61%,3676,40%,18%,16910,0%,9%,2%,18%,0%,0%,6%,65%
View Park-Windsor Hills,2017,11285,8%,856,50%,50%,1248,53%,28%,11285,0%,2%,79%,9%,0%,0%,2%,7%
Sierra Madre,2017,11043,13%,1410,31%,69%,1756,38%,20%,11043,0%,11%,1%,16%,0%,1%,3%,67%
Gramercy Park,2017,10901,16%,1693,51%,49%,1557,64%,39%,10901,0%,0%,78%,18%,0%,1%,2%,1%
Aggregated,2017,10066225,34%,3468635,49%,51%,1776000,56%,30%,10066225,0%,14%,8%,48%,0%,0%,2%,26%
Irwindale,2018,1754,25%,434,47%,53%,136,52%,15%,1754,0%,5%,0%,87%,0%,0%,0%,7%
Pico-Union,2018,42155,56%,23806,71%,29%,11714,63%,30%,42155,0%,11%,3%,82%,0%,0%,0%,3%
Glendora,2018,55155,18%,10066,36%,64%,5131,47%,23%,55155,0%,11%,2%,33%,0%,0%,4%,49%
Industry,2018,22735,43%,9813,44%,56%,1760,53%,30%,22735,0%,34%,1%,54%,0%,0%,1%,10%
Sylmar,2018,81575,36%,29073,52%,48%,7594,57%,29%,81575,0%,5%,2%,80%,0%,0%,1%,12%
Torrance,2018,145682,30%,43259,42%,58%,24182,47%,23%,145682,0%,36%,3%,18%,1%,0%,4%,38%
Alhambra,2018,84763,49%,41786,37%,63%,17890,53%,28%,84763,0%,51%,2%,36%,0%,0%,2%,9%
Pico Rivera,2018,64399,30%,19180,39%,61%,5504,51%,21%,64399,0%,3%,1%,90%,0%,0%,0%,5%
Rolling Hills Estates,2018,10296,26%,2662,30%,70%,471,40%,18%,10296,0%,28%,2%,8%,0%,0%,4%,58%
Signal Hill,2018,11760,25%,2986,36%,64%,2527,55%,26%,11760,0%,23%,11%,34%,0%,0%,3%,28%
Hawthorne,2018,90707,35%,31400,53%,47%,21809,56%,27%,90707,0%,8%,23%,54%,0%,1%,4%,10%
North Hills,2018,63257,42%,26539,53%,47%,9142,62%,36%,63257,0%,14%,3%,64%,0%,0%,2%,17%
Hacienda Heights,2018,53262,41%,21809,29%,71%,3665,52%,31%,53262,0%,41%,1%,45%,0%,0%,1%,12%
Harbor Gateway,2018,41536,37%,15296,57%,43%,7517,63%,38%,41536,0%,16%,15%,57%,0%,1%,2%,8%
Lopez/Kagel Canyons,2018,1594,29%,462,48%,52%,84,71%,8%,1594,0%,8%,9%,54%,0%,0%,2%,26%
Citrus,2018,13106,33%,4288,54%,46%,1330,57%,33%,13106,0%,9%,3%,74%,0%,0%,1%,13%
Lake Balboa,2018,27426,33%,8955,41%,59%,3630,61%,33%,27426,0%,10%,5%,42%,0%,1%,3%,37%
Granada Hills,2018,53098,35%,18396,25%,75%,4776,52%,26%,53098,0%,17%,5%,31%,0%,0%,3%,44%
Palms,2018,41233,34%,14197,52%,48%,17904,45%,20%,41233,0%,24%,9%,20%,0%,1%,4%,42%
Santa Monica,2018,90381,23%,21192,41%,59%,31665,43%,22%,90381,0%,10%,4%,16%,0%,0%,5%,64%
Pacoima,2018,79443,44%,35093,58%,42%,7845,63%,35%,79443,0%,3%,4%,90%,0%,0%,0%,3%
Toluca Lake,2018,9422,20%,1892,44%,56%,2819,50%,24%,9422,0%,7%,4%,21%,0%,0%,3%,64%
Veterans Administration,2018,1224,14%,175,55%,45%,139,57%,36%,1224,0%,13%,21%,22%,0%,0%,4%,40%
Valley Village,2018,25289,25%,6433,25%,75%,7877,61%,32%,25289,0%,6%,5%,22%,0%,0%,4%,62%
Brentwood,2018,34148,20%,6871,31%,69%,7786,46%,22%,34148,0%,7%,2%,6%,0%,0%,4%,80%
Pomona,2018,154056,34%,52370,57%,43%,18384,61%,31%,154056,0%,10%,6%,71%,0%,0%,2%,11%
South Whittier,2018,55587,26%,14571,45%,55%,4899,54%,29%,55587,0%,5%,1%,76%,0%,1%,1%,15%
Pasadena,2018,144243,30%,43105,49%,51%,31361,52%,28%,144243,0%,17%,9%,35%,0%,0%,3%,36%
Winnetka,2018,53817,43%,22977,46%,54%,7851,58%,32%,53817,0%,17%,4%,48%,0%,1%,2%,27%
Palmdale,2018,158932,26%,41730,46%,54%,15820,60%,35%,158932,0%,4%,12%,61%,0%,0%,2%,20%
Porter Ranch,2018,25435,38%,9628,18%,82%,1114,53%,19%,25435,0%,29%,4%,14%,1%,0%,3%,50%
South El Monte,2018,20331,46%,9266,61%,39%,2987,61%,31%,20331,0%,15%,0%,83%,0%,0%,0%,2%
Tujunga Canyons,2018,8027,18%,1421,30%,70%,315,51%,19%,8027,0%,11%,4%,27%,0%,0%,3%,54%
Commerce,2018,13706,33%,4554,52%,48%,1952,52%,24%,13706,1%,1%,2%,94%,0%,0%,0%,2%
San Fernando,2018,24576,37%,8987,57%,43%,3094,60%,33%,24576,0%,1%,1%,93%,0%,0%,0%,4%
Sherman Oaks,2018,73166,25%,18112,34%,66%,19791,52%,27%,73166,0%,8%,5%,14%,0%,0%,5%,68%
Bradbury,2018,1220,30%,366,35%,65%,178,51%,38%,1220,0%,33%,2%,15%,0%,0%,1%,50%
Panorama City,2018,68720,52%,35925,59%,41%,12743,66%,38%,68720,0%,14%,3%,74%,0%,0%,0%,8%
Northridge,2018,69086,34%,23604,42%,58%,10979,60%,34%,69086,0%,17%,7%,34%,0%,0%,3%,38%
Culver City,2018,36103,26%,9272,38%,62%,6798,45%,23%,36103,0%,15%,7%,24%,0%,1%,5%,47%
Lakewood,2018,80867,22%,17421,33%,67%,7482,50%,23%,80867,0%,18%,8%,34%,1%,0%,3%,35%
Compton,2018,100829,30%,30171,65%,35%,11381,61%,37%,100829,0%,1%,28%,68%,0%,0%,1%,1%
Vernon,2018,379,28%,104,53%,47%,71,32%,14%,379,2%,1%,8%,84%,0%,0%,1%,4%
San Dimas,2018,35860,20%,7109,30%,70%,3357,55%,30%,35860,0%,14%,3%,35%,0%,0%,2%,44%
Inglewood,2018,111701,28%,31693,58%,42%,23920,59%,30%,111701,0%,2%,40%,51%,0%,0%,2%,4%
Charter Oak,2018,9133,26%,2351,40%,60%,1091,49%,24%,9133,0%,15%,3%,56%,0%,0%,3%,22%
Paramount,2018,55522,36%,19744,58%,42%,8968,55%,29%,55522,0%,3%,10%,81%,1%,0%,1%,5%
San Pedro,2018,81414,22%,18297,50%,50%,17846,57%,30%,81414,0%,6%,6%,50%,0%,0%,4%,34%
Lincoln Heights,2018,29224,45%,13286,53%,47%,6242,58%,33%,29224,0%,22%,1%,72%,0%,0%,1%,5%
Boyle Heights,2018,92226,45%,41095,67%,33%,17943,60%,31%,92226,0%,3%,1%,93%,0%,0%,0%,3%
Historic South-Central,2018,49287,48%,23417,78%,22%,9408,63%,35%,49287,0%,1%,6%,91%,0%,0%,0%,1%
Avalon,2018,3629,19%,692,65%,35%,1017,35%,22%,3629,0%,0%,0%,59%,0%,0%,1%,39%
Westlake,2018,110902,57%,63263,71%,29%,36987,58%,30%,110902,0%,19%,4%,68%,0%,0%,1%,7%
Mission Hills,2018,19357,39%,7486,41%,59%,1451,57%,37%,19357,0%,10%,2%,67%,1%,1%,1%,18%
Quartz Hill,2018,10141,9%,879,32%,68%,937,41%,15%,10141,1%,4%,9%,28%,0%,0%,3%,54%
Marina del Rey,2018,9512,23%,2218,63%,37%,5022,51%,24%,9512,0%,9%,7%,12%,0%,1%,3%,69%
Bell,2018,35912,43%,15569,63%,37%,6405,59%,29%,35912,0%,1%,1%,92%,0%,0%,0%,5%
Long Beach,2018,467047,26%,119239,49%,51%,98198,53%,27%,467047,0%,13%,12%,43%,1%,0%,3%,28%
San Gabriel,2018,41244,54%,22405,43%,57%,6749,57%,32%,41244,0%,60%,1%,26%,0%,0%,1%,12%
Downey,2018,113544,33%,37796,42%,58%,16486,52%,22%,113544,0%,7%,3%,74%,0%,0%,1%,14%
Diamond Bar,2018,45921,44%,20239,29%,71%,3619,51%,32%,45921,0%,55%,4%,19%,1%,0%,2%,18%
La Canada Flintridge,2018,21565,26%,5651,28%,72%,1013,48%,26%,21565,0%,30%,1%,10%,0%,0%,4%,55%
West Covina,2018,109608,36%,39224,32%,68%,10436,52%,30%,109608,0%,28%,4%,55%,0%,0%,2%,11%
Redondo Beach,2018,67477,19%,13073,35%,65%,13587,41%,18%,67477,0%,13%,3%,17%,0%,1%,6%,60%
Vermont Square,2018,51745,41%,21009,68%,32%,9315,67%,40%,51745,0%,1%,25%,70%,0%,1%,1%,2%
Santa Fe Springs,2018,22927,28%,6474,40%,60%,2208,53%,26%,22927,0%,5%,3%,80%,0%,1%,1%,10%
Calabasas,2018,19192,25%,4775,27%,73%,1724,57%,34%,19192,0%,10%,1%,8%,0%,0%,5%,76%
Altadena,2018,43281,21%,8895,41%,59%,4233,55%,35%,43281,0%,7%,21%,28%,0%,1%,4%,39%
Bell Gardens,2018,42679,43%,18301,72%,28%,7510,64%,33%,42679,0%,1%,1%,96%,0%,0%,0%,3%
Sun Valley,2018,69364,47%,32453,46%,54%,9633,64%,40%,69364,0%,8%,2%,70%,0%,0%,1%,19%
Playa Vista,2018,12680,19%,2381,52%,48%,3649,49%,26%,12680,0%,22%,7%,17%,0%,0%,3%,50%
Carson,2018,92204,34%,31331,35%,65%,6691,51%,23%,92204,0%,25%,24%,39%,2%,0%,3%,7%
Hollywood Hills,2018,20671,22%,4489,45%,55%,5874,54%,29%,20671,0%,7%,4%,11%,0%,1%,5%,73%
Lancaster,2018,157354,11%,16644,41%,59%,22826,50%,26%,157354,0%,4%,21%,39%,0%,0%,3%,32%
Leona Valley,2018,2369,13%,303,21%,79%,81,33%,14%,2369,1%,6%,8%,16%,0%,0%,2%,66%
Whittier,2018,82929,18%,14940,38%,62%,11477,53%,24%,82929,0%,5%,1%,69%,0%,1%,1%,23%
Walnut,2018,29901,50%,14906,23%,77%,1377,47%,26%,29901,0%,63%,3%,20%,0%,0%,2%,11%
Castaic Canyons,2018,46176,18%,8299,37%,63%,1975,52%,25%,46176,0%,10%,5%,31%,0%,0%,5%,49%
Silver Lake,2018,30923,24%,7465,43%,57%,8827,45%,20%,30923,0%,14%,2%,32%,0%,0%,4%,48%
Whittier Narrows,2018,7309,40%,2919,37%,63%,704,52%,24%,7309,0%,29%,0%,65%,0%,0%,0%,6%
Glendale,2018,200148,54%,107157,36%,64%,49501,58%,36%,200148,0%,15%,2%,18%,0%,0%,3%,62%
West Whittier-Los Nietos,2018,24090,27%,6456,46%,54%,2059,47%,24%,24090,1%,1%,1%,88%,0%,0%,0%,8%
Atwater Village,2018,12361,39%,4867,34%,66%,2735,50%,23%,12361,2%,18%,1%,44%,0%,0%,4%,31%
East Whittier,2018,10218,15%,1564,37%,63%,1125,63%,22%,10218,0%,5%,0%,55%,0%,0%,1%,39%
El Sereno,2018,41756,35%,14534,48%,52%,5970,58%,30%,41756,0%,11%,1%,78%,0%,0%,1%,8%
Montecito Heights,2018,18390,37%,6883,42%,58%,3040,51%,30%,18390,0%,19%,3%,60%,0%,0%,2%,15%
Florence,2018,53600,39%,21017,74%,26%,8919,69%,42%,53600,0%,0%,18%,81%,0%,0%,0%,1%
Huntington Park,2018,60519,46%,27940,69%,31%,10883,63%,32%,60519,0%,0%,1%,97%,0%,0%,0%,2%
Cheviot Hills,2018,8201,21%,1704,34%,66%,1103,36%,21%,8201,0%,10%,2%,9%,0%,0%,4%,75%
Cypress Park,2018,9469,43%,4090,55%,45%,1666,55%,30%,9469,0%,10%,1%,82%,0%,0%,1%,7%
Desert View Highlands,2018,1925,27%,515,34%,66%,168,60%,32%,1925,0%,7%,9%,53%,0%,2%,4%,24%
